"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","GroupTravel","NoTripsLastYear","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessCost","AccessTime","Occupation","Income"
"93","ICN","Korean","<=50","2","1","Leisure",5,7,"1","2",2,"3","3","1",70,1,"1",6579,56,"7","30~80"
"94","ICN","Korean",">50","1","1","Leisure",6,8,"2","1",1,"1","3","1",78,1,"1",4550,39,"7","30~80"
"95","ICN","Korean","<=50","2","1","Leisure",5,2,"2","2",0,"3","4","1",52,1,"5",1300,50,"5","30~80"
"96","ICN","Korean","<=50","2","1","Leisure",7,2,"2","2",0,"3","3","1",52,1,"5",2300,30,"9","80~150"
"97","ICN","Korean","<=50","1","1","Leisure",3,3,"2","2",1,"3","3","1",30,1,"5",4550,39,"2","30~80"
"98","ICN","Korean","<=50","1","1","Leisure",3,3,"2","2",3,"3","3","1",30,2,"3",1100,39,"12","0"
"99","ICN","Foreign",">50","1","1","Business",5,1,"2","2",3,"1","3","1",53,1,"5",4550,39,"2","80~150"
"100","ICN","Korean","<=50","1","1","Leisure",7,1,"2","2",2,"3","3","1",30,1,"8",8000,39,"2","30~80"
"101","ICN","Foreign","<=50","1","4","Leisure",6,2,"2","2",1,"3","4","1",30,1,"6",2300,30,"5","80~150"
"102","ICN","Korean",">50","1","1","Leisure",7,1,"2","2",0,"1","3","1",26,1,"1",4550,39,"2","80~150"
"103","ICN","Korean","<=50","1","1","Leisure",6,8,"2","1",0,"1","3","1",78,1,"1",3175,60,"8","30~80"
"104","ICN","Foreign","<=50","1","1","Business",14,2,"2","2",6,"1","3","1",34,1,"2",4550,39,"5","30~80"
"105","ICN","Korean","<=50","1","1","Business",7,0,"3","2",3,"3","2","1",80,1,"6",8000,40,"1","80~150"
"106","ICN","Korean","<=50","2","1","Leisure",4,4,"3","2",1,"2","1","1",41,1,"6",8000,50,"9","30~80"
"107","ICN","Korean","<=50","1","1","Leisure",10,2,"3","2",1,"1","1","1",49,2,"4",1000,20,"12","0"
"108","ICN","Korean","<=50","1","1","Business",7,2,"3","2",2,"2","2","1",40,1,"1",1630,76,"8","150~200>"
"109","ICN","Korean","<=50","2","1","Business",4,0,"3","2",2,"1","2","1",40,1,"6",8000,50,"1","30~80"
"110","ICN","Korean","<=50","1","1","Business",40,1,"3","2",4,"1","2","1",34,1,"6",8000,50,"1","30~80"
"111","ICN","Korean","<=50","2","1","Business",40,1,"3","2",0,"1","2","1",34,1,"6",8000,50,"9","30~80"
"112","ICN","Korean",">50","1","1","Leisure",7,1,"3","2",0,"2","1","1",56,1,"6",8000,50,"2","30~80"
"113","ICN","Korean","<=50","2","1","Leisure",4,1,"3","2",0,"3","3","1",34,2,"2",2400,5,"12","0"
"114","ICN","Korean","<=50","2","1","Leisure",5,2,"3","2",4,"2","2","1",54,2,"3",1100,10,"12","0"
"115","ICN","Foreign","<=50","1","1","Leisure",7,1,"3","1",10,"4","2","1",80,1,"6",8000,50,"1","30~80"
"116","ICN","Korean",">50","1","1","Business",4,2,"3","2",8,"2","3","2",27,1,"5",1500,76,"5","30~80"
"117","ICN","Korean","<=50","2","1","Leisure",5,2,"3","2",2,"3","2","1",40,2,"2",3000,5,"12","0"
"118","ICN","Korean","<=50","2","1","Leisure",4,1,"3","2",2,"3","2","1",29,2,"2",2700,10,"12","0"
"119","ICN","Korean","<=50","2","1","Leisure",6,5,"3","2",1,"3","3","1",38,2,"3",1100,20,"12","0"
"120","ICN","Korean","<=50","1","1","Leisure",6,5,"3","2",1,"3","3","1",38,1,"1",1630,76,"2","0"
"121","ICN","Foreign","<=50","2","1","Leisure",5,2,"3","2",5,"3","2","1",53,1,"6",10000,60,"9","30~80"
"122","ICN","Foreign","<=50","1","4","Business",30,0,"3","2",0,"4","4","1",39,3,"3",1100,15,"12","0"
"123","ICN","Korean",">50","1","1","Leisure",5,3,"3","2",2,"1","2","1",28,2,"2",4000,10,"12","0"
"124","ICN","Korean","<=50","2","1","Business",21,1,"3","2",1,"1","3","1",49,1,"6",8000,50,"8","0"
"125","ICN","Korean","<=50","1","1","Business",4,1,"3","2",50,"3","3","2",53,1,"6",5500,40,"12","80~150"
"126","ICN","Korean","<=50","2","1","Business",4,0,"3","2",100,"3","1","2",40,2,"2",8000,10,"12","0"
"127","ICN","Korean","<=50","1","1","Leisure",5,4,"3","2",4,"3","3","1",30,1,"6",12000,75,"2","30~80"
"128","ICN","Korean","<=50","2","1","Leisure",10,2,"3","2",2,"1","2","1",48,2,"2",5000,10,"12","0"
"129","ICN","Korean","<=50","2","1","Leisure",5,2,"3","2",2,"2","2","1",54,1,"6",8000,50,"3","30~80"
"130","ICN","Korean","<=50","2","1","Business",3,5,"3","2",20,"3","3","1",60,1,"6",6000,40,"12","30~80"
"131","ICN","Korean","<=50","1","1","Leisure",7,9,"3","1",2,"3","3","1",45,1,"6",11000,90,"2","80~150"
"132","ICN","Korean",">50","2","1","Leisure",7,9,"3","2",0,"3","3","1",45,2,"2",1050,20,"12","0"
"133","ICN","Korean","<=50","1","1","Leisure",6,1,"3","2",3,"2","2","1",17,2,"4",2000,60,"12","0"
"134","ICN","Korean","<=50","1","1","Leisure",6,5,"3","2",0,"3","3","1",38,2,"3",1100,20,"12","0"
"135","ICN","Korean","<=50","1","1","Leisure",5,2,"3","2",3,"3","3","1",52,1,"5",1200,40,"4","80~150"
"136","ICN","Korean","<=50","1","1","Leisure",6,1,"3","2",1,"3","2","1",40,2,"5",1050,60,"12","0"
"137","ICN","Korean","<=50","2","1","Leisure",5,0,"3","2",1,"3","2","1",40,1,"5",1050,60,"2","0"
"138","ICN","Korean","<=50","1","1","Leisure",5,10,"3","2",0,"3","2","3",52,1,"7",4300,53,"2","30~80"
"139","ICN","Foreign",">50","2","1","Leisure",5,26,"3","1",2,"3","3","1",3,2,"2",2500,76,"12","0"
"140","ICN","Korean",">50","2","1","Leisure",5,2,"3","2",1,"3","3","1",52,1,"6",1630,76,"11","<=30"
"141","ICN","Korean",">50","1","1","Leisure",5,2,"3","2",1,"3","3","1",52,1,"6",12642,120,"11","<=30"
"142","ICN","Foreign",">50","2","1","Leisure",5,26,"3","1",2,"3","3","1",3,2,"2",2500,76,"12","0"
"143","ICN","Korean","<=50","2","1","Leisure",5,1,"3","2",2,"3","2","1",50,1,"6",12000,100,"2","80~150"
"144","ICN","Korean","<=50","1","1","Business",9,1,"3","2",1,"4","3","1",100,2,"8",3000,60,"12","0"
"145","ICN","Korean","<=50","2","1","Leisure",5,4,"3","1",2,"1","3","1",41,1,"6",12000,90,"3","30~80"
"146","ICN","Korean","<=50","1","1","Business",9,2,"3","2",1,"4","3","1",120,1,"6",1630,76,"2","30~80"
"147","ICN","Korean","<=50","1","1","Leisure",6,1,"3","2",1,"3","3","1",40,1,"6",10000,60,"2","30~80"
"148","ICN","Korean","<=50","2","1","Leisure",7,2,"3","2",2,"3","1","1",52,1,"1",1630,76,"3","0"
"149","ICN","Korean","<=50","1","1","Business",60,1,"3","2",10,"1","3","1",30,2,"3",1050,30,"12","0"
"150","ICN","Korean","<=50","1","1","Leisure",7,2,"3","2",0,"3","3","1",56,2,"3",2000,60,"12","0"
"151","ICN","Korean",">50","2","1","Leisure",5,2,"3","2",2,"1","2","1",28,2,"3",2000,30,"12","0"
"152","ICN","Korean","<=50","1","4","Leisure",7,2,"3","2",1,"3","2","1",70,2,"2",10000,20,"12","0"
"153","ICN","Foreign","<=50","2","1","Leisure",20,2,"3","1",3,"1","3","1",35,2,"4",4157,60,"12","0"
"154","ICN","Foreign",">50","2","1","Leisure",6,12,"3","1",1,"3","1","3",40,2,"2",8500,30,"12","0"
"155","ICN","Korean","<=50","2","1","Leisure",5,3,"3","2",1,"2","2","1",11,1,"1",30000,90,"7","80~150"
"156","ICN","Korean",">50","1","1","Leisure",4,11,"3","1",1,"3","2","1",52,1,"1",1630,76,"12","0"
"157","ICN","Foreign","<=50","2","1","Leisure",15,3,"3","2",2,"3","1","1",40,1,"5",1630,76,"2","30~80"
"158","ICN","Korean","<=50","2","1","Leisure",4,2,"3","2",2,"2","4","1",48,1,"5",1630,76,"12","0"
"159","ICN","Korean","<=50","2","1","Leisure",10,3,"3","1",1,"3","3","1",100,2,"5",20,76,"12","0"
"160","ICN","Korean","<=50","2","1","Leisure",3,2,"3","2",1,"3","3","1",52,1,"6",1630,76,"12","30~80"
"161","ICN","Korean","<=50","2","2","Leisure",20,1,"3","1",0,"1","3","1",52,1,"1",17667,90,"3","30~80"
"162","ICN","Korean","<=50","2","1","Leisure",4,2,"3","2",4,"3","3","1",50,1,"1",4157,60,"5","80~150"
"163","ICN","Korean","<=50","2","1","Business",99,1,"3","2",1,"2","4","1",30,2,"3",1050,20,"12","0"
"164","ICN","Korean","<=50","2","1","Leisure",15,1,"3","2",1,"2","3","1",36,2,"3",1050,30,"12","0"
"165","ICN","Korean",">50","2","1","Leisure",3,6,"3","1",1,"1","3","1",26,1,"9",1630,76,"9","<=30"
"166","ICN","Foreign",">50","2","1","Leisure",7,4,"3","1",1,"3","4","1",50,1,"1",17667,90,"2","30~80"
"167","ICN","Korean","<=50","2","1","Leisure",4,3,"3","1",1,"3","3","1",52,1,"5",1630,76,"12","30~80"
"168","ICN","Korean",">50","2","1","Leisure",3,4,"3","1",1,"1","3","1",26,1,"5",12642,120,"9","<=30"
"169","ICN","Foreign","<=50","2","1","Leisure",4,3,"3","2",3,"3","3","1",20,3,"2",1630,76,"12","0"
"170","ICN","Korean","<=50","1","1","Leisure",5,1,"4","2",3,"3","2","1",52,2,"8",10600,60,"1","30~80"
"171","ICN","Korean","<=50","1","1","Business",15,1,"4","2",3,"1","2","1",26,3,"2",11000,10,"12","0"
"172","ICN","Korean","<=50","1","1","Leisure",5,2,"4","2",1,"3","2","2",75,2,"8",10600,155,"12","0"
"173","ICN","Korean","<=50","2","1","Leisure",5,2,"4","2",1,"3","2","2",75,2,"8",14000,40,"12","0"
"174","ICN","Korean","<=50","1","1","Leisure",5,1,"4","2",1,"3","3","1",35,2,"8",10600,155,"12","0"
"175","ICN","Korean","<=50","1","4","Business",150,0,"4","2",0,"3","4","1",50,1,"4",10600,155,"8","0"
