Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
1,2,33,2,1,1,4,4,1,2,1,1,3,,20,20,3,1,,1,6,15000,60,2,2,4,
1,3,43,2,1,1,5,7,1,2,2,1,3,,8,4,3,1,70,1,1,,56,7,2,4,
1,2,66,1,1,1,6,8,2,1,1,1,1,,20,0,3,1,78,1,1,,39,7,2,,
1,3,26,2,1,1,5,2,2,2,0,1,3,21,25,1,4,1,,1,5,1300,50,5,2,,
1,1,50,2,1,1,7,2,2,2,0,1,3,KE659,20,20,3,1,,1,5,,30,9,4,4,
1,3,29,1,1,1,3,3,2,2,1,1,3,7C2301,19,35,3,1,30,1,5,,39,2,2,4,
1,3,36,1,1,1,3,3,2,2,3,3,3,7C2301,19,35,3,1,30,2,3,1100,39,12,,,
1,4,52,1,1,2,5,1,2,2,3,2,1,CX419,20,5,3,1,,1,5,,39,2,4,,
1,3,33,1,1,1,7,1,2,2,2,1,3,,19,35,3,1,30,1,8,8000,39,2,3,4,
1,4,29,1,4,1,6,2,2,2,1,1,3,J195,21,30,4,1,30,1,6,2300,30,5,5,4,
1,2,62,1,1,1,7,1,2,2,0,2,1,OZ367,20,0,3,1,26,1,1,,39,2,5,,
1,2,19,1,1,1,6,8,2,1,0,1,1,,20,0,3,1,78,1,1,,60,8,3,4,
1,4,45,1,1,2,14,2,2,2,6,"2,3",1,CA5024,20,0,3,1,34,1,2,,39,5,3,4,
1,1,49,1,1,2,7,0,3,2,3,1,3,KE627,12,5,2,1,80,1,6,8000,40,1,5,1,150000
1,1,49,2,1,1,4,4,3,2,1,1,2,KE703,10,10,1,1,41,1,6,8000,50,9,3,,
1,1,25,1,1,1,10,2,3,2,1,2,1,KE897,11,30,1,1,49,2,4,1000,20,12,,,
1,1,29,1,1,2,7,2,3,2,2,5,2,KE725,15,20,2,1,40,1,1,,76,8,7,2,100000
1,1,34,2,1,2,4,0,3,2,2,2,1,KE869,1,0,2,1,40,1,6,8000,50,1,3,,
1,1,43,1,1,4,40,1,3,2,4,2,1,KE833,14,45,2,1,34,1,6,8000,50,1,3,,
1,1,43,2,1,4,40,1,3,2,0,2,1,KE833,14,45,2,1,34,1,6,8000,50,9,3,,
1,1,52,1,1,1,7,1,3,2,0,4,2,KE703,10,15,1,1,56,1,6,8000,50,2,3,3,
1,3,24,2,1,1,4,1,3,2,0,1,3,2301,19,35,3,1,34,2,2,2400,5,12,,,
1,1,29,2,1,1,5,2,3,2,4,1,2,KE5703,13,35,2,1,54,2,3,1100,10,12,,,
1,4,45,1,1,1,7,1,3,1,10,1,4,CX411,15,15,2,1,80,1,6,8000,50,1,2,1,200000
1,2,62,1,1,2,4,2,3,2,8,3,2,OZ108/040CT3,10,20,3,2,27,1,5,1500,76,5,3,4,
1,3,31,2,1,1,5,2,3,2,2,5,3,ZE0511,17,30,2,1,40,2,2,3000,5,12,,,
1,3,28,2,1,1,4,1,3,2,2,5,3,ZE511,17,20,2,1,29,2,2,2700,10,12,,,
1,3,29,2,1,1,6,5,3,2,1,3,3,7C2201,20,5,3,1,38,2,3,1100,20,12,,,
1,3,29,1,1,1,6,5,3,2,1,1,3,,20,,3,1,38,1,1,,76,2,,,
1,4,30,2,1,1,5,2,3,2,5,5,3,,4,20,2,1,53,1,6,10000,60,9,3,,
1,4,22,1,4,4,30,0,3,2,0,6,4,,11,45,4,1,39,3,3,1100,15,12,,,
1,1,55,1,1,1,5,3,3,2,2,"2,5",1,,14,10,2,1,28,2,2,4000,10,12,,,
1,1,20,2,1,3,21,1,3,2,1,5,1,KE607,19,45,3,1,49,1,6,8000,50,8,,4,
1,1,46,1,1,2,4,1,3,2,50,2,3,KE687,19,0,3,2,,1,6,5500,40,12,5,4,
1,1,31,2,1,4,4,0,3,2,100,"1,2,3,4,5",3,KE691,10,35,1,2,40,2,2,8000,10,12,,,
1,3,28,1,1,1,5,4,3,2,4,6,3,7C2301,19,35,3,1,30,1,6,12000,75,2,2,,
1,1,32,2,1,1,10,2,3,2,2,1,1,KE833,14,50,2,1,48,2,2,5000,10,12,,,
1,1,29,2,1,1,5,2,3,2,2,3,2,KE5703,13,35,2,1,54,1,6,8000,50,3,2,,
1,1,35,2,1,2,3,5,3,2,20,1,3,KE653,18,40,3,1,60,1,6,6000,40,12,3,4,
1,3,28,1,1,1,7,9,3,1,2,1,3,,8,30,3,1,45,1,6,11000,90,2,4,4,
1,3,53,2,1,1,7,9,3,2,0,1,3,,20,30,3,1,45,2,2,1050,20,12,,,
1,3,29,1,1,1,6,1,3,2,3,3,2,,15,30,2,1,17,2,4,2000,60,12,,,
1,3,28,1,1,1,6,5,3,2,0,1,3,7C2201,20,5,3,1,38,2,3,1100,20,12,,,
1,1,47,1,1,1,5,2,3,2,3,1,3,KE687,19,0,3,1,,1,5,1200,40,4,5,1,7000
1,,23,2,1,1,7,2,3,1,0,1,3,,,,2,1,30,1,5,1050,30,3,2,,
1,3,33,1,1,1,6,1,3,2,1,4,3,,16,,2,1,40,2,5,1050,60,12,,,
1,3,29,2,1,1,5,0,3,2,1,1,3,,16,,2,1,40,1,5,1050,60,2,,,
1,1,40,1,1,1,5,10,3,2,0,6,3,,,,2,3,,1,7,4300,53,2,2,2,
1,4,54,2,1,1,5,26,3,1,2,1,3,7C2201,20,,3,1,3,2,2,2500,76,12,,,
1,1,60,2,1,1,5,2,3,2,1,1,3,KE659,20,20,3,1,,1,6,,76,11,1,4,
1,1,62,1,1,1,5,2,3,2,1,1,3,KE659,20,20,3,1,,1,6,,120,11,1,4,
1,4,64,2,1,1,5,26,3,1,2,1,3,7C2201,20,0,3,1,3,2,2,2500,76,12,,,
1,3,24,2,1,1,5,1,3,2,2,1,3,ZE511,17,30,2,1,50,1,6,12000,100,2,4,,
1,1,39,1,1,2,9,1,3,2,1,2,4,KE655,11,30,3,1,100,2,8,3000,60,12,,,
1,2,37,2,1,1,5,4,3,1,2,3,1,OZ0323,20,0,3,1,41,1,6,12000,90,3,2,2,
1,1,43,1,1,2,9,2,3,2,1,"2,3",4,KE655,19,30,3,1,120,1,6,,76,2,3,,
1,1,30,1,1,2,7,1,3,1,9,6,3,KE631,20,35,3,1,53,1,9,350000,80,12,3,1,70000
1,3,30,1,1,1,6,1,3,2,1,3,3,7C2203,20,40,3,1,40,1,6,10000,60,2,3,,
1,1,50,2,1,1,7,2,3,2,2,1,3,,9,45,1,1,,1,1,,76,3,,,
1,2,37,1,1,2,60,1,3,2,10,2,1,OZ367,20,,3,1,30,2,3,1050,30,12,,,
1,3,33,1,1,1,7,2,3,2,0,3,3,7C2301,19,35,3,1,56,2,3,2000,60,12,,,
1,3,34,,1,1,7,1,3,2,2,1,3,7C2401,21,55,4,1,53,2,3,2000,60,12,,,
1,1,55,2,1,1,5,2,3,2,2,2,1,KE5885,16,33,2,1,28,2,3,2000,30,12,,,
1,1,43,1,4,1,7,2,3,2,1,1,3,KE651,17,40,2,1,70,2,2,10000,20,12,,,
1,4,43,2,1,1,20,2,3,1,3,1,1,FM828,18,10,3,1,35,2,4,,60,12,,,
1,4,52,2,1,1,6,12,3,1,1,1,3,,9,20,1,3,,2,2,8500,30,12,,,
1,3,43,2,1,1,5,3,3,2,1,"1,3",2,7C1402,15,30,2,1,11,1,1,30000,90,7,4,1,65744
1,1,51,1,1,1,4,11,3,1,1,1,3,,17,40,2,1,,1,1,,76,12,,1,428
1,4,30,2,1,1,15,3,3,2,2,1,3,,,,1,1,,1,5,,76,2,2,,
1,1,30,2,1,1,4,2,3,2,2,3,2,,,,4,1,48,1,5,,76,12,,,
1,2,37,2,1,1,10,3,3,1,1,1,3,OZ747,20,0,3,1,100,2,5,20,76,12,,,
1,1,33,2,1,1,3,2,3,2,1,1,3,KE631,20,35,3,1,,1,6,,76,12,2,,
1,2,29,2,2,1,20,1,3,1,0,2,1,OZ367,8,,3,1,52,1,1,,90,3,3,2,
1,1,50,2,1,1,4,2,3,2,4,"1,2",3,KE659,20,20,3,1,50,1,1,,60,5,4,1,140000
1,2,25,2,1,3,99,1,3,2,1,3,2,OZ178,9,,4,1,30,2,3,1050,20,12,,,
1,1,20,2,1,1,15,1,3,2,1,3,2,KKE719,20,55,3,1,36,2,3,1050,30,12,,,
1,2,62,2,1,1,3,6,3,1,1,1,1,OZ367,20,0,3,1,26,1,9,,76,9,1,,
1,4,53,2,1,1,7,4,3,1,1,1,3,TG657,,,4,1,50,1,1,,90,2,2,1,1500
1,1,41,2,1,1,4,3,3,1,1,1,3,KE659,20,20,3,1,,1,5,,76,12,2,1,34000
1,2,60,2,1,1,3,4,3,1,1,1,1,OZ749,20,10,3,1,26,1,5,,120,9,1,,
1,4,41,2,1,1,4,3,3,2,3,"1,2,3",3,PR469,20,45,3,1,20,3,2,,76,12,,,
1,3,36,1,1,1,5,1,4,2,3,"1,3",3,,,,2,1,,2,8,,60,1,3,4,
1,,58,1,1,3,7,2,4,1,8,5,4,,,,2,1,180,3,2,6000,20,12,,,
1,2,40,1,1,2,15,1,4,2,3,2,1,OZ365,14,0,2,1,26,3,2,11000,10,12,,,
1,2,32,1,1,1,5,2,4,2,1,1,3,OZ751,16,0,2,2,75,2,8,,155,12,,,
