"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"185","2","4",45,"2","Korean","Other",2,2,"City",0,"Others","Japan","2","Economic",38,2,"Personal",10,"no income","30~150"
"186","2","4",44,"1","Korean","Leisure",3,2,"City",0,"Japan","Japan","2","Economic",40,2,"Public",10,"w/income","30~150"
"187","2","1",53,"1","Korean","Leisure",7,5,"City",0,"China","Japan","2","Economic",40,1,"Personal",40,"w/income","30~150"
"188","2","1",57,"1","Korean","Other",2,3,"City",4,"China","China","2","Other",48,1,"Personal",60,"w/income","30~150"
"189","2","1",56,"1","Korean","Other",6,1,"City",2,"Japan","Japan","2","Economic",53,1,"Public",30,"no income","30~150"
"190","2","4",33,"2","Korean","Leisure",10,0,"City",1,"Japan","Other","2","Economic",89,1,"Public",50,"w/income","<=30"
"191","2","3",30,"2","Korean","Leisure",4,1,"City",4,"China","Other","4","Economic",34,1,"Personal",30,"w/income","<=30"
"192","2","1",43,"2","Korean","Other",7,2,"City",3,"China","Japan","1","Economic",40,1,"Public",60,"no income","30~150"
"193","2","4",28,"2","Korean","Leisure",8,1,"City",1,"Others","China","2","Economic",120,1,"Personal",40,"w/income","30~150"
"194","2","4",26,"1","Korean","Other",140,0,"City",1,"China","China","1","Economic",52,1,"Personal",45,"no income","30~150"
"195","2","3",31,"1","Korean","Leisure",3,4,"City",3,"Others","Other","1","Economic",39,1,"Public",60,"w/income","30~150"
"196","2","3",33,"2","Korean","Leisure",3,4,"City",2,"Others","Other","1","Economic",40,1,"Public",60,"w/income","30~150"
"197","2","4",38,"1","Korean","Other",3,1,"City",3,"Japan","Japan","2","Economic",45.2051282051282,1,"Public",40,"w/income","30~150"
"198","2","4",30,"2","Korean","Other",14,0,"City",3,"SA","Japan","2","Other",42,1,"Personal",70,"w/income","30~150"
"199","2","4",32,"2","Foreign","Other",5,1,"City",8,"China","China","1","Other",55.25,1,"Public",20,"w/income","150~200>"
"200","2","1",34,"1","Foreign","Other",3,2,"City",3,"SA","Japan","2","Economic",53,1,"Personal",30,"w/income","30~150"
