Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
2,1,43,2,1,4,7,2,1,2,3,2,1,1,40,1,6,10000,60,9,3
2,4,28,2,1,1,8,1,1,2,1,1,2,1,120,1,1,20000,40,2,5
2,3,31,1,1,1,3,4,1,2,3,3,1,1,39,1,5,1550,60,2,3
2,3,33,2,1,1,3,4,1,2,2,3,1,1,40,1,5,1550,60,2,3
2,1,34,1,3,2,3,2,1,2,3,2,2,1,53,1,2,15000,30,5,4
2,1,29,1,1,1,4,14,1,1,0,1,2,1,48,2,2,4500,15,2,3
2,1,64,2,1,1,4,14,1,1,1,1,2,1,44,1,5,1300,40,7,4
2,1,22,2,1,4,8,4,1,2,3,1,2,1,30,1,5,3000,10,8,6
2,1,26,2,3,3,7,0,1,2,0,2,1,1,60,1,3,1150,40,8,5
2,1,28,2,2,2,4,1,1,2,6,1,2,2,50,2,3,1200,20,1,4
2,3,25,2,1,1,3,3,1,2,0,3,1,1,40,1,5,1350,60,2,5
2,2,59,2,1,2,4,2,1,2,2,2,3,1,36,1,5,3000,30,9,3
2,1,50,1,3,2,4,34,2,1,2,2,3,1,30,1,5,1250,50,5,3
2,2,30,2,1,4,7,1,2,2,3,1,2,1,42,1,1,10000,40,8,2
2,2,35,1,1,1,7,0,2,2,4,2,3,2,64,2,2,3300,20,12,1
2,2,21,2,1,1,30,0,3,2,2,1,2,1,33,1,6,12000,90,8,3
2,2,20,1,1,1,4,0,3,2,1,2,3,1,50,1,5,2000,40,8,2
2,2,30,1,1,2,100,1,3,2,4,1,2,1,40,1,3,2800,4,1,3
2,4,32,1,1,1,6,2,3,2,1,3,2,1,35,1,6,8800,7,5,2
2,4,28,2,1,1,6,2,3,2,1,3,2,1,35,1,6,8800,80,9,2
2,3,44,2,3,1,7,1,3,2,0,2,2,3,20,1,6,5100,60,2,1
2,4,34,1,1,2,5,1,3,2,2,2,3,1,60,1,2,60000,30,2,5
2,1,45,1,3,2,3,0,3,2,3,2,2,1,25,2,4,2000,30,5,5
2,1,52,2,1,1,5,2,3,2,1,2,2,1,20,1,5,2000,60,9,3
2,2,45,2,1,1,21,0,3,2,3,2,3,1,50,2,6,20000,150,9,1
2,1,59,2,1,1,3,4,3,2,1,1,3,1,48,1,5,2000,40,9,4
2,1,60,2,1,1,4,2,3,2,0,2,2,1,60,1,6,6000,40,9,1
2,1,65,1,1,1,4,2,3,2,0,2,2,1,60,1,6,6000,40,10,2
2,1,51,1,1,2,1,0,3,2,30,2,1,1,65,2,2,7000,20,2,6
2,4,56,2,1,1,5,2,3,2,0,2,2,1,32.5,1,6,8000,50,9,3
2,2,53,1,1,2,5,2,3,2,2,2,1,1,40,1,6,6000,40,2,2
2,2,59,1,1,1,3,5,3,2,0,2,2,1,50,1,5,70,10,2,3
2,4,61,2,1,1,3,0,3,2,3,2,2,1,40,1,6,10000,64,9,2
