Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Korean,<=50,2,1,Leisure,5,2,2,2,0,3,4,1,52,1,5,1300,50,5,2
ICN,Korean,<=50,2,1,Leisure,7,2,2,2,0,3,3,1,52,1,5,2300,30,9,4
ICN,Korean,<=50,1,1,Leisure,3,3,2,2,1,3,3,1,30,1,5,4550,39,2,2
ICN,Korean,<=50,1,1,Leisure,3,3,2,2,3,3,3,1,30,2,3,1100,39,12,NA
ICN,Foreign,>50,1,1,Business,5,1,2,2,3,1,3,1,53,1,5,4550,39,2,4
ICN,Korean,<=50,1,1,Leisure,7,1,2,2,2,3,3,1,30,1,8,8000,39,2,3
ICN,Foreign,<=50,1,4,Leisure,6,2,2,2,1,3,4,1,30,1,6,2300,30,5,5
ICN,Korean,>50,1,1,Leisure,7,1,2,2,0,1,3,1,26,1,1,4550,39,2,5
ICN,Korean,<=50,1,1,Leisure,6,8,2,1,0,1,3,1,78,1,1,3175,60,8,3
ICN,Foreign,<=50,1,1,Business,14,2,2,2,6,1,3,1,34,1,2,4550,39,5,3
ICN,Korean,<=50,1,1,Business,7,0,3,2,3,3,2,1,80,1,6,8000,40,1,5
ICN,Korean,<=50,2,1,Leisure,4,4,3,2,1,2,1,1,41,1,6,8000,50,9,3
ICN,Korean,<=50,1,1,Leisure,10,2,3,2,1,1,1,1,49,2,4,1000,20,12,NA
ICN,Korean,<=50,1,1,Business,7,2,3,2,2,2,2,1,40,1,1,1630,76,8,7
ICN,Korean,<=50,2,1,Business,4,0,3,2,2,1,2,1,40,1,6,8000,50,1,3
ICN,Korean,<=50,1,1,Business,40,1,3,2,4,1,2,1,34,1,6,8000,50,1,3
ICN,Korean,<=50,2,1,Business,40,1,3,2,0,1,2,1,34,1,6,8000,50,9,3
ICN,Korean,>50,1,1,Leisure,7,1,3,2,0,2,1,1,56,1,6,8000,50,2,3
ICN,Korean,<=50,2,1,Leisure,4,1,3,2,0,3,3,1,34,2,2,2400,5,12,NA
ICN,Korean,<=50,2,1,Leisure,5,2,3,2,4,2,2,1,54,2,3,1100,10,12,NA
